ID,Province/Cities,Home or abroad,Status,Main Classification,Applicant
417,Beijing,Mainland of China,In Review,A61K38,北京三元基因药业股份有限公司
418,Beijing,Mainland of China,In Review,A61K38,北京三元基因药业股份有限公司
419,Beijing,Mainland of China,In Review,A61K38,北京三元基因药业股份有限公司
420,Beijing,Mainland of China,In Review,A61K38,北京三元基因药业股份有限公司
421,Beijing,Mainland of China,valid,A61K38,北京三元基因药业股份有限公司
422,Beijing,Mainland of China,valid,A61K38,北京三元基因工程有限公司
423,Beijing,Mainland of China,valid,A61K38,北京三元基因工程有限公司
424,Beijing,Mainland of China,valid,A61K38,北京三元基因工程有限公司
425,Beijing,Mainland of China,valid,A61K38,北京三元基因工程有限公司
426,Beijing,Mainland of China,valid,A61K38,北京三元基因工程有限公司
427,Beijing,Mainland of China,valid,A61K38,北京三元基因工程有限公司
428,Beijing,Mainland of China,valid,A61K38,北京三元基因工程有限公司
429,Beijing,Mainland of China,valid,A61K38,北京三元基因工程有限公司
430,Guangdong,Mainland of China,valid,A61K31,广州和竺生物科技有限公司
431,Guangdong,Mainland of China,valid,A61K38,深圳市海王英特龙生物技术股份有限公司
432,Guangdong,Mainland of China,valid,A61K38,深圳市海王英特龙生物技术股份有限公司
433,Jilin,Mainland of China,valid,A61K38,长春生物制品研究所
434,Jiangsu,Mainland of China,valid,A61K38,南京医科大学
435,Shanghai,Mainland of China,valid,A61K38,澳蒲生物科技(上海)有限公司
437,Shanghai,Mainland of China,invalid,C07K14,复旦大学
438,Beijing,Mainland of China,invalid,A61K38,北京三元基因工程有限公司
439,Beijing,Mainland of China,invalid,A61K38,北京金迪克生物技术研究所
443,Beijing,Mainland of China,invalid,A61K9,中国人民解放军军事医学科学院微生物流行病研究所
444,Beijing,Mainland of China,invalid,A61K38,中国人民解放军军事医学科学院微生物流行病研究所
445,Beijing,Mainland of China,invalid,A61K38,北京双鹭药业股份有限公司
446,Beijing,Mainland of China,invalid,A61K38,中国科学院微生物研究所
447,Beijing,Mainland of China,invalid,A61K38,北京远策药业有限责任公司
448,Beijing,Mainland of China,invalid,A61K38,北京金迪克生物技术研究所
449,Beijing,Mainland of China,invalid,A61K38,北京金迪克生物技术研究所
450,Jilin,Mainland of China,invalid,A61K38,长春生物制品研究所
451,Shanxi,Mainland of China,invalid,A61K9,吴一坚
